srr	condition_type	treatment	conc_intens	start_time	end_time	time_unit
SRR7550994	treatment	Kdo2-Lipid A	100 nM	-5	0	min
SRR7550995	treatment	1,6-hexanediol	8.5%	-5	0	min
SRR7550996	treatment	1,6-hexanediol	8.5%	-35	-5	min
SRR7550996	treatment	Kdo2-Lipid A	100 nM	-5	0	min
SRR7550986	vehicle	ethanol	NA or not known	-30	0	min
SRR7550986	treatment	2,5-hexanediol	8%	-35	-30	min
SRR7550987	treatment	TNF-alpha	100 nM	-30	0	min
SRR7550987	treatment	2,5-hexanediol	8%	-35	-30	min
SRR7550988	vehicle	ethanol	NA or not known	-30	0	min
SRR7550988	treatment	1,6-hexanediol	8%	-35	-30	min
SRR7550989	treatment	TNF-alpha	100 nM	-30	0	min
SRR7550989	treatment	1,6-hexanediol	8%	-35	-30	min
SRR7550990	vehicle	ethanol	NA or not known	-845	-5	min
SRR7550990	treatment	2,5-hexanediol	8%	-5	0	min
SRR7550991	treatment	17-beta-estradiol	100 nM	-845	-5	min
SRR7550991	treatment	2,5-hexanediol	8.5%	-5	0	min
SRR7550992	treatment	17-beta-estradiol	100 nM	-845	-5	min
SRR7550992	treatment	1,6-hexanediol	8.5%	-5	0	min
SRR6347627	vehicle	ethanol	NA or not known	-30	0	min
SRR6347627	treatment	1,6-hexanediol	8.5%	-35	-30	min
SRR6347628	treatment	17-beta-estradiol	100 nM	-30	0	min
SRR6347628	treatment	1,6-hexanediol	8.5%	-35	-30	min
SRR6347629	vehicle	ethanol	NA or not known	-30	0	min
SRR6347629	treatment	2,5-hexanediol	8.5%	-35	-30	min
SRR6347630	treatment	17-beta-estradiol	100 nM	-30	0	min
SRR6347630	treatment	2,5-hexanediol	8.5%	-35	-30	min
SRR6825349	treatment	cell sorting CD23+	NA or not known			
SRR6825350	treatment	cell sorting CD23+	NA or not known			
SRR6825351	treatment	cell sorting CD19+	NA or not known			
SRR6825352	treatment	cell sorting CD19+	NA or not known			
SRR4423740	no treatment					
SRR4423741	no treatment					
SRR3031836	no treatment					
SRR3031837	no treatment					
SRR3031838	no treatment					
SRR3031839	no treatment					
SRR3031840	no treatment					
SRR3031841	no treatment					
SRR3031842	no treatment					
SRR3031843	no treatment					
SRR3031844	no treatment					
SRR3031845	no treatment					
SRR3031846	no treatment					
SRR3031847	no treatment					
SRR3546394	treatment	C37 control drug	NA or not known	-10	0	min
SRR3546395	treatment	C37 control drug	NA or not known	-10	0	min
SRR3546396	treatment	C646 CBP inhibitor	30 microM	-10	0	min
SRR3546397	treatment	C646 CBP inhibitor	30 microM	-10	0	min
SRR7349475	vehicle	DMSO	NA or not known	-72	0	hr
SRR7349476	vehicle	DMSO	NA or not known	-72	0	hr
SRR7349477	vehicle	DMSO	NA or not known	-72	0	hr
SRR7349478	vehicle	DMSO	NA or not known	-72	0	hr
SRR7349479	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR7349480	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR7349481	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR7349482	treatment	gamma-secretase inhibitor	1 microM	-72	0	hr
SRR7349483	treatment	gamma-secretase inhibitor	1 microM	-73	-1	hr
SRR7349484	treatment	gamma-secretase inhibitor	1 microM	-73	-1	hr
SRR7349485	treatment	gamma-secretase inhibitor	1 microM	-73	-1	hr
SRR7349486	treatment	gamma-secretase inhibitor	1 microM	-73	-1	hr
SRR7349487	treatment	gamma-secretase inhibitor	1 microM	-74	-2	hr
SRR7349488	treatment	gamma-secretase inhibitor	1 microM	-74	-2	hr
SRR7349489	treatment	gamma-secretase inhibitor	1 microM	-74	-2	hr
SRR7349490	treatment	gamma-secretase inhibitor	1 microM	-74	-2	hr
SRR7349491	treatment	gamma-secretase inhibitor	1 microM	-75	-3	hr
SRR7349492	treatment	gamma-secretase inhibitor	1 microM	-75	-3	hr
SRR7349493	treatment	gamma-secretase inhibitor	1 microM	-75	-3	hr
SRR7349494	treatment	gamma-secretase inhibitor	1 microM	-75	-3	hr
SRR7349495	treatment	gamma-secretase inhibitor	1 microM	-76	-4	hr
SRR7349496	treatment	gamma-secretase inhibitor	1 microM	-76	-4	hr
SRR7349497	treatment	gamma-secretase inhibitor	1 microM	-76	-4	hr
SRR7349498	treatment	gamma-secretase inhibitor	1 microM	-76	-4	hr
SRR7349499	treatment	gamma-secretase inhibitor	1 microM	-77	-5	hr
SRR7349500	treatment	gamma-secretase inhibitor	1 microM	-77	-5	hr
SRR7349501	treatment	gamma-secretase inhibitor	1 microM	-77	-5	hr
SRR7349502	treatment	gamma-secretase inhibitor	1 microM	-77	-5	hr
SRR7349503	treatment	gamma-secretase inhibitor	1 microM	-78	-6	hr
SRR7349504	treatment	gamma-secretase inhibitor	1 microM	-78	-6	hr
SRR7349505	treatment	gamma-secretase inhibitor	1 microM	-78	-6	hr
SRR7349506	treatment	gamma-secretase inhibitor	1 microM	-78	-6	hr
SRR7349507	treatment	gamma-secretase inhibitor	1 microM	-80	-8	hr
SRR7349508	treatment	gamma-secretase inhibitor	1 microM	-80	-8	hr
SRR7349509	treatment	gamma-secretase inhibitor	1 microM	-80	-8	hr
SRR7349510	treatment	gamma-secretase inhibitor	1 microM	-80	-8	hr
SRR7349511	treatment	gamma-secretase inhibitor	1 microM	-82	-10	hr
SRR7349512	treatment	gamma-secretase inhibitor	1 microM	-82	-10	hr
SRR7349513	treatment	gamma-secretase inhibitor	1 microM	-82	-10	hr
SRR7349514	treatment	gamma-secretase inhibitor	1 microM	-82	-10	hr
SRR6492219	treatment	hydroxytamoxifen	200 nM	-72	0	hr
SRR6492220	treatment	hydroxytamoxifen	200 nM	-73	-1	hr
SRR6492220	treatment	lipopolysaccharide	10 ng/mL	-1	0	hr
SRR6492221	treatment	hydroxytamoxifen	200 nM	-78	-6	hr
SRR6492221	treatment	lipopolysaccharide	10 ng/mL	-6	0	hr
SRR6492222	treatment	hydroxytamoxifen	200 nM	-72	0	hr
SRR6492223	treatment	hydroxytamoxifen	200 nM	-73	-1	hr
SRR6492223	treatment	lipopolysaccharide	10 ng/mL	-1	0	hr
SRR6492224	treatment	hydroxytamoxifen	200 nM	-78	-6	hr
SRR6492224	treatment	lipopolysaccharide	10 ng/mL	-6	0	hr
SRR6492225	treatment	hydroxytamoxifen	200 nM	-72	0	hr
SRR6492226	treatment	hydroxytamoxifen	200 nM	-73	-1	hr
SRR6492226	treatment	lipopolysaccharide	10 ng/mL	-1	0	hr
SRR6492227	treatment	hydroxytamoxifen	200 nM	-78	-6	hr
SRR6492227	treatment	lipopolysaccharide	10 ng/mL	-6	0	hr
SRR6492228	treatment	hydroxytamoxifen	200 nM	-72	0	hr
SRR6492229	treatment	hydroxytamoxifen	200 nM	-73	-1	hr
SRR6492229	treatment	lipopolysaccharide	10 ng/mL	-1	0	hr
SRR6492230	treatment	hydroxytamoxifen	200 nM	-78	-6	hr
SRR6492230	treatment	lipopolysaccharide	10 ng/mL	-6	0	hr
SRR6508247	no treatment					
SRR6508248	treatment	FCCP	NA or not known	-3	0	hr
SRR6508249	no treatment					
SRR6508250	treatment	FCCP	NA or not known	-3	0	hr
SRR10004434	vehicle	DMSO	NA or not known	-90	0	min
SRR10004435	vehicle	DMSO	NA or not known	-90	0	min
SRR10004436	vehicle	DMSO	NA or not known	-90	0	min
SRR10004437	vehicle	DMSO	NA or not known	-90	0	min
SRR10004438	vehicle	DMSO	NA or not known	-90	0	min
SRR10004439	vehicle	DMSO	NA or not known	-90	0	min
SRR10004440	vehicle	DMSO	NA or not known	-90	0	min
SRR10004441	vehicle	DMSO	NA or not known	-90	0	min
SRR10004442	treatment	Spt5-Pol II small-molecule inhibitor 21	50 microM	-90	0	min
SRR10004443	treatment	Spt5-Pol II small-molecule inhibitor 21	50 microM	-90	0	min
SRR10004444	treatment	Spt5-Pol II small-molecule inhibitor 21	50 microM	-90	0	min
SRR10004445	treatment	Spt5-Pol II small-molecule inhibitor 21	50 microM	-90	0	min
SRR3923617	vehicle	ethanol	NA or not known	-2	0	hr
SRR3923618	vehicle	ethanol	NA or not known	-2	0	hr
SRR3923619	treatment	R1881	10 nM	-30	0	min
SRR3923620	treatment	R1881	10 nM	-30	0	min
SRR3923621	treatment	R1881	10 nM	-2	0	hr
SRR3923622	treatment	R1881	10 nM	-2	0	hr
SRR8111714	no treatment					
SRR8111715	no treatment					
SRR8111716	no treatment					
SRR8111717	no treatment					
SRR8111718	no treatment					
SRR7266931	vehicle	DMSO	NA or not known	-60	0	min
SRR7266932	vehicle	DMSO	NA or not known	-60	0	min
SRR7266933	treatment	C3	36 microM	-15	0	min
SRR7266934	treatment	C3	36 microM	-15	0	min
SRR7266935	treatment	C3	36 microM	-30	0	min
SRR7266936	treatment	C3	36 microM	-30	0	min
SRR7266937	treatment	C3	36 microM	-60	0	min
SRR7266938	treatment	C3	36 microM	-60	0	min
SRR5313794	no treatment					
SRR5313795	no treatment					
SRR5313796	no treatment					
SRR5313797	no treatment					
SRR1015594	no treatment					
SRR1015593	no treatment					
SRR1015592	vehicle	DMSO	NA or not known	-15	0	min
SRR1015591	vehicle	DMSO	NA or not known	-15	0	min
SRR1015590	treatment	TNF-alpha	25 ng/mL	-2	0	hr
SRR1015589	treatment	TNF-alpha	25 ng/mL	-2	0	hr
SRR1015588	treatment	TNF-alpha	25 ng/mL	-30	0	min
SRR1015587	treatment	TNF-alpha	25 ng/mL	-30	0	min
SRR1015586	treatment	TNF-alpha	25 ng/mL	-10	0	min
SRR1015585	treatment	TNF-alpha	25 ng/mL	-10	0	min
SRR1015584	no treatment					
SRR1015583	no treatment					
SRR6808884	no treatment					
SRR6808883	no treatment					
SRR6808882	no treatment					
SRR6808881	no treatment					
SRR5905136	vehicle	DMSO	NA or not known	-5	0	min
SRR5905137	vehicle	DMSO	NA or not known	-5	0	min
SRR5905138	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905139	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905140	vehicle	DMSO	NA or not known	-5	0	min
SRR5905141	vehicle	DMSO	NA or not known	-5	0	min
SRR5905142	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905143	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905144	vehicle	DMSO	NA or not known	-5	0	min
SRR5905145	vehicle	DMSO	NA or not known	-5	0	min
SRR5905146	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905147	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905148	vehicle	DMSO	NA or not known	-5	0	min
SRR5905149	vehicle	DMSO	NA or not known	-5	0	min
SRR5905150	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905151	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905152	vehicle	DMSO	NA or not known	-5	0	min
SRR5905153	vehicle	DMSO	NA or not known	-5	0	min
SRR5905154	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905155	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905156	vehicle	DMSO	NA or not known	-20	0	min
SRR5905157	vehicle	DMSO	NA or not known	-20	0	min
SRR5905158	treatment	3MB-PP1	10 microM	-30	0	s
SRR5905159	treatment	3MB-PP1	10 microM	-30	0	s
SRR5905160	treatment	3MB-PP1	10 microM	-1	0	min
SRR5905161	treatment	3MB-PP1	10 microM	-1	0	min
SRR5905162	treatment	3MB-PP1	10 microM	-150	0	s
SRR5905163	treatment	3MB-PP1	10 microM	-150	0	s
SRR5905164	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905165	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905166	treatment	3MB-PP1	10 microM	-450	0	s
SRR5905167	treatment	3MB-PP1	10 microM	-450	0	s
SRR5905168	treatment	3MB-PP1	10 microM	-10	0	min
SRR5905169	treatment	3MB-PP1	10 microM	-10	0	min
SRR5905170	treatment	3MB-PP1	10 microM	-20	0	min
SRR5905171	treatment	3MB-PP1	10 microM	-20	0	min
SRR5905172	vehicle	DMSO	NA or not known	-5	0	min
SRR5905173	vehicle	DMSO	NA or not known	-5	0	min
SRR5905174	treatment	3MB-PP1	10 microM	-5	0	min
SRR5905175	treatment	3MB-PP1	10 microM	-5	0	min
SRR9051611	no treatment					
SRR9051610	no treatment					
SRR9051609	no treatment					
SRR9051608	no treatment					
SRR9051607	no treatment					
SRR9051606	no treatment					
SRR9051605	no treatment					
SRR9051604	no treatment					
SRR9051603	no treatment					
SRR9051602	no treatment					
SRR6687446	treatment	interleukin-4	20 ng/microL	-25	-1	hr
SRR6687446	treatment	LG100268	100 nM	-1	0	hr
SRR5714119	vehicle	DMSO	NA or not known	-1	0	hr
SRR5714120	treatment	interleukin-4	20 ng/microL	-1	0	hr
SRR3407140	treatment	interleukin-4	20 ng/microL	-25	-1	hr
SRR3407140	vehicle	DMSO/ethanol	NA or not known	-1	0	hr
SRR3407139	treatment	interleukin-4	20 ng/microL	-25	-1	hr
SRR3407139	treatment	rosiglitazone	10 microM	-1	0	hr
SRR3407138	treatment	interleukin-4	20 ng/microL	-25	-1	hr
SRR3407138	vehicle	DMSO/ethanol	NA or not known	-1	0	hr
SRR3407137	treatment	interleukin-4	20 ng/microL	-25	-1	hr
SRR3407137	treatment	rosiglitazone	10 microM	-1	0	hr
SRR8033049	no treatment					
SRR8033050	no treatment					
SRR8033051	treatment	doxycycline	1 microg/mL	-30	0	min
SRR8033052	treatment	doxycycline	1 microg/mL	-1	0	hr
SRR8033053	treatment	doxycycline	1 microg/mL	-2	0	hr
SRR8033054	treatment	doxycycline	1 microg/mL	-4	0	hr
SRR8033055	treatment	doxycycline	1 microg/mL	-8	0	hr
SRR8033056	treatment	doxycycline	1 microg/mL	-12	0	hr
SRR8033057	treatment	doxycycline	1 microg/mL	-24	0	hr
SRR8033058	treatment	doxycycline	1 microg/mL	-24	0	hr
SRR828695	vehicle	DMSO	NA or not known	-1	0	hr
SRR828696	vehicle	DMSO	NA or not known	-1	0	hr
SRR828729	vehicle	DMSO	NA or not known	-1	0	hr
SRR639051	treatment	TNF-alpha	10 ng/mL	-1	0	hr
SRR639050	no treatment					
SRR988346	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR988345	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR988344	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR988343	treatment	Kdo2-Lipid A	100 ng/mL	-12	0	hr
SRR988342	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR988341	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR988340	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR988339	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR988338	treatment	Kdo2-Lipid A	100 ng/mL	-1	0	hr
SRR988337	no treatment					
SRR988336	no treatment					
SRR988335	no treatment					
SRR988334	no treatment					
SRR988333	no treatment					
SRR988332	no treatment					
SRR988331	no treatment					
SRR988330	no treatment					
SRR988329	no treatment					
SRR6453429	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453429	treatment	light cycle	NA or not known	-1	0	hr
SRR6453430	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453430	treatment	light cycle	NA or not known	-4	0	hr
SRR6453431	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453431	treatment	light cycle	NA or not known	-7	0	hr
SRR6453432	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453432	treatment	light cycle	NA or not known	-10	0	hr
SRR6453433	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453433	treatment	light cycle	NA or not known	-13	-1	hr
SRR6453434	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453434	treatment	light cycle	NA or not known	-16	-4	hr
SRR6453435	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453435	treatment	light cycle	NA or not known	-19	-7	hr
SRR6453436	treatment	high fat diet	60% kcal% fat	-12	0	wk
SRR6453436	treatment	light cycle	NA or not known	-22	-10	hr
SRR7621275	vehicle	DMSO	NA or not known	-4	0	hr
SRR7621281	vehicle	DMSO	NA or not known	-4	0	hr
SRR10737809	no treatment					
SRR10737808	no treatment					
SRR10737807	no treatment					
SRR10737806	no treatment					
SRR10737805	no treatment					
SRR10737804	no treatment					
SRR10737803	no treatment					
SRR10737802	no treatment					
SRR10737801	no treatment					
SRR10737800	no treatment					
SRR10737799	no treatment					
SRR10737798	no treatment					
SRR1482436	no treatment					
SRR1482437	no treatment					
SRR1482438	no treatment					
SRR1482439	no treatment					
SRR1482440	no treatment					
SRR1482441	no treatment					
SRR1482442	no treatment					
SRR1482443	no treatment					
SRR1482444	no treatment					
SRR1609863	vehicle	ethanol	NA or not known	-1	0	hr
SRR1609864	treatment	17-beta-estradiol	100 nM	-1	0	hr
SRR1609865	vehicle	ethanol	NA or not known	-1	0	hr
SRR1609866	treatment	17-beta-estradiol	100 nM	-1	0	hr
SRR1609867	vehicle	ethanol	NA or not known	-1	0	hr
SRR1609868	treatment	17-beta-estradiol	100 nM	-1	0	hr
SRR1609869	vehicle	ethanol	NA or not known	-1	0	hr
SRR1609870	treatment	17-beta-estradiol	100 nM	-1	0	hr
SRR4305537	vehicle	DMSO	NA or not known	-7	0	day
SRR4305538	vehicle	DMSO	NA or not known	-7	0	day
SRR4305539	vehicle	DMSO	NA or not known	-7	0	day
SRR4305540	treatment	pinometostat	2 microM	-7	0	day
SRR4305541	treatment	pinometostat	2 microM	-7	0	day
SRR4305542	treatment	pinometostat	2 microM	-7	0	day
SRR4053664	no treatment					
SRR4053665	no treatment					
SRR4053666	no treatment					
SRR4053667	no treatment					
SRR4053668	no treatment					
SRR4053669	no treatment					
SRR1810067	vehicle	DMSO/ethanol	NA or not known	-30	0	min
SRR1810068	vehicle	DMSO/ethanol	NA or not known	-30	0	min
SRR1810069	vehicle	DMSO/ethanol	NA or not known	-30	0	min
SRR1810070	vehicle	DMSO/ethanol	NA or not known	-30	0	min
SRR1810071	vehicle	DMSO/ethanol	NA or not known	-30	0	min
SRR1810072	vehicle	DMSO/ethanol	NA or not known	-30	0	min
SRR1192053	vehicle	DMSO	0.1%	-3	-1	hr
SRR1192053	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR1192054	vehicle	DMSO	0.1%	-3	-1	hr
SRR1192054	vehicle	ethanol	0.1%	-1	0	hr
SRR1192055	treatment	SD70	10 microM	-3	-1	hr
SRR1192055	treatment	dihydrotestosterone	100 nM	-1	0	hr
SRR1192056	treatment	SD70	10 microM	-3	-1	hr
SRR1192056	vehicle	ethanol	0.1%	-1	0	hr
SRR1916552	vehicle	water	NA or not known	-5	0	hr
SRR1916553	treatment	doxycycline	NA or not known	-5	0	hr
SRR1916554	vehicle	water	NA or not known	-5	0	hr
SRR1916555	treatment	doxycycline	NA or not known	-5	0	hr
SRR942404	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942404	treatment	DRB	100 microM	-210	0	min
SRR942405	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942405	treatment	DRB	100 microM	-210	0	min
SRR942406	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942406	treatment	DRB	100 microM	-210	0	min
SRR942407	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942407	treatment	DRB	100 microM	-220	-10	min
SRR942408	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942408	treatment	DRB	100 microM	-220	-10	min
SRR942409	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942409	treatment	DRB	100 microM	-220	-10	min
SRR942410	treatment	doxycycline withdrawal	NA or not known	-5995	0	min
SRR942410	treatment	DRB	100 microM	-235	-25	min
SRR942411	treatment	doxycycline withdrawal	NA or not known	-5995	0	min
SRR942411	treatment	DRB	100 microM	-235	-25	min
SRR942412	treatment	doxycycline withdrawal	NA or not known	-5995	0	min
SRR942412	treatment	DRB	100 microM	-235	-25	min
SRR942413	treatment	doxycycline withdrawal	NA or not known	-6010	0	min
SRR942413	treatment	DRB	100 microM	-250	-40	min
SRR942414	treatment	doxycycline withdrawal	NA or not known	-6010	0	min
SRR942414	treatment	DRB	100 microM	-250	-40	min
SRR942415	treatment	DRB	100 microM	-210	0	min
SRR942416	treatment	DRB	100 microM	-210	0	min
SRR942417	treatment	DRB	100 microM	-210	0	min
SRR942418	treatment	DRB	100 microM	-220	-10	min
SRR942419	treatment	DRB	100 microM	-220	-10	min
SRR942420	treatment	DRB	100 microM	-220	-10	min
SRR942421	treatment	DRB	100 microM	-235	-25	min
SRR942422	treatment	DRB	100 microM	-235	-25	min
SRR942423	treatment	DRB	100 microM	-250	-40	min
SRR942424	treatment	DRB	100 microM	-250	-40	min
SRR942425	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942425	treatment	DRB	100 microM	-210	0	min
SRR942426	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942426	treatment	DRB	100 microM	-210	0	min
SRR942427	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942427	treatment	DRB	100 microM	-210	0	min
SRR942428	treatment	doxycycline withdrawal	NA or not known	-5970	0	min
SRR942428	treatment	DRB	100 microM	-210	0	min
SRR942429	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942429	treatment	DRB	100 microM	-220	-10	min
SRR942430	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942430	treatment	DRB	100 microM	-220	-10	min
SRR942431	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942431	treatment	DRB	100 microM	-220	-10	min
SRR942432	treatment	doxycycline withdrawal	NA or not known	-5980	0	min
SRR942432	treatment	DRB	100 microM	-220	-10	min
SRR942433	treatment	doxycycline withdrawal	NA or not known	-5995	0	min
SRR942433	treatment	DRB	100 microM	-235	-25	min
SRR942434	treatment	doxycycline withdrawal	NA or not known	-5995	0	min
SRR942434	treatment	DRB	100 microM	-235	-25	min
SRR942435	treatment	doxycycline withdrawal	NA or not known	-5995	0	min
SRR942435	treatment	DRB	100 microM	-235	-25	min
SRR942436	treatment	doxycycline withdrawal	NA or not known	-6010	0	min
SRR942436	treatment	DRB	100 microM	-250	-40	min
SRR942437	treatment	doxycycline withdrawal	NA or not known	-6010	0	min
SRR942437	treatment	DRB	100 microM	-250	-40	min
SRR942438	treatment	doxycycline withdrawal	NA or not known	-6010	0	min
SRR942438	treatment	DRB	100 microM	-250	-40	min
SRR942439	treatment	DRB	100 microM	-210	0	min
SRR942440	treatment	DRB	100 microM	-210	0	min
SRR942441	treatment	DRB	100 microM	-210	0	min
SRR942442	treatment	DRB	100 microM	-210	0	min
SRR942443	treatment	DRB	100 microM	-220	-10	min
SRR942444	treatment	DRB	100 microM	-220	-10	min
SRR942445	treatment	DRB	100 microM	-220	-10	min
SRR942446	treatment	DRB	100 microM	-235	-25	min
SRR942447	treatment	DRB	100 microM	-235	-25	min
SRR942448	treatment	DRB	100 microM	-235	-25	min
SRR942449	treatment	DRB	100 microM	-250	-40	min
SRR942450	treatment	DRB	100 microM	-250	-40	min
SRR942451	treatment	DRB	100 microM	-250	-40	min
SRR5144955	treatment	17-beta-estradiol withdrawal	NA or not known	-5	0	day
SRR5144956	treatment	17-beta-estradiol withdrawal	NA or not known	-5	0	day
SRR5144957	no treatment					
SRR5144958	no treatment					
SRR4041365	no treatment					
SRR4041366	no treatment					
SRR4041367	no treatment					
SRR4041368	no treatment					
SRR4041369	no treatment					
SRR4041370	no treatment					
SRR4041371	no treatment					
SRR4041372	no treatment					
SRR4041373	no treatment					
SRR4001595	vehicle	ethanol	NA or not known	-4	0	hr
SRR4001596	vehicle	ethanol	NA or not known	-4	0	hr
SRR4001597	treatment	dihydrotestosterone	100 nM	-4	0	hr
SRR4001598	treatment	dihydrotestosterone	100 nM	-4	0	hr
SRR2036965	treatment	control antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2036966	treatment	control antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2226209	treatment	control antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2226210	treatment	control antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2036963	treatment	7SK antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2036964	treatment	7SK antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2226207	treatment	7SK antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR2226208	treatment	7SK antisense oligonucleotide	1 nmole/2 million cells	-12	0	hr
SRR1596500	no treatment					
SRR1596501	no treatment					
SRR4454567	no treatment					
SRR4454568	no treatment					
SRR4454569	treatment	heat shock	42 Celsius	-30	0	min
SRR4454570	treatment	heat shock	42 Celsius	-30	0	min
SRR3160418	treatment	anti-CD40	1 microg/mL	-2	0	day
SRR3160418	treatment	interleukin-4	20 ng/mL	-2	0	day
SRR3160418	vehicle	DMSO	NA or not known	-2	0	day
SRR3160419	treatment	anti-CD40	1 microg/mL	-2	0	day
SRR3160419	treatment	interleukin-4	20 ng/mL	-2	0	day
SRR3160419	vehicle	DMSO	NA or not known	-2	0	day
SRR3160420	treatment	anti-CD40	1 microg/mL	-2	0	day
SRR3160420	treatment	interleukin-4	20 ng/mL	-2	0	day
SRR3160420	treatment	idelalisib	1 microM	-2	0	day
SRR3160421	treatment	anti-CD40	1 microg/mL	-2	0	day
SRR3160421	treatment	interleukin-4	20 ng/mL	-2	0	day
SRR3160421	treatment	idelalisib	1 microM	-2	0	day
SRR3160422	treatment	anti-CD40	1 microg/mL	-2	0	day
SRR3160422	treatment	interleukin-4	20 ng/mL	-2	0	day
SRR3160422	treatment	duvelisib	1 microM	-2	0	day
SRR3160423	treatment	anti-CD40	1 microg/mL	-2	0	day
SRR3160423	treatment	interleukin-4	20 ng/mL	-2	0	day
SRR3160423	treatment	duvelisib	1 microM	-2	0	day
ERR769522	treatment	DRB	100 microM	-30	0	min
ERR769523	treatment	KM05283	100 microM	-30	0	min
ERR769524	no treatment					
ERR769525	no treatment					
SRR3535362	treatment	ICI 182,780	100 nM	-3	0	hr
SRR3535363	treatment	ICI 182,780	100 nM	-3	0	hr
SRR3535363	treatment	dexamethasone	100 nM	-1	0	hr
SRR3535364	treatment	17-beta-estradiol	100 nM	-1	0	hr
SRR3535365	treatment	17-beta-estradiol	100 nM	-1	0	hr
SRR3535365	treatment	dexamethasone	100 nM	-1	0	hr
SRR3146638	treatment	heat shock	initially 48 Celsius	-2	0	min
SRR3146639	treatment	heat shock	initially 48 Celsius	-2	0	min
SRR3146640	treatment	heat shock	initially 48 Celsius	-5	0	min
SRR3146641	treatment	heat shock	initially 48 Celsius	-5	0	min
SRR3146642	treatment	heat shock	initially 48 Celsius	-10	0	min
SRR3146643	treatment	heat shock	initially 48 Celsius	-10	0	min
SRR3146644	treatment	heat shock	initially 48 Celsius	-20	0	min
SRR3146645	treatment	heat shock	initially 48 Celsius	-20	0	min
SRR3189196	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR3189197	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR3189198	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR3189198	treatment	heat shock	initially 48 Celsius	-20	0	min
SRR3189199	treatment	dsRNA LacZ	10 microg/mL	-5	0	day
SRR3189199	treatment	heat shock	initially 48 Celsius	-20	0	min
SRR3189200	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR3189201	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR3189202	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR3189202	treatment	heat shock	initially 48 Celsius	-20	0	min
SRR3189203	treatment	dsRNA Gaf	10 microg/mL	-5	0	day
SRR3189203	treatment	heat shock	initially 48 Celsius	-20	0	min
